头实体	关系	尾实体
古方败毒散	来源	互动百科
古方败毒散	属于	药物
二神膏	属于	药物
二神膏	来源	中文维基百科
二神膏	来源	互动百科
十滴水软胶囊	属于	药物
十滴水软胶囊	来源	中文维基百科
十滴水软胶囊	来源	互动百科
绞股蓝总甙颗粒	来源	中文维基百科
绞股蓝总甙颗粒	属于	药物
绞股蓝总甙颗粒	来源	互动百科
万字丸	属于	药物
万字丸	来源	中文维基百科
万字丸	来源	互动百科
接骨六一散	来源	互动百科
接骨六一散	属于	药物
接骨六一散	来源	中文维基百科
冷冻喷剂	来源	中文维基百科
冷冻喷剂	属于	药物
冷冻喷剂	来源	互动百科
不换金丹	属于	药物
不换金丹	来源	互动百科
不换金丹	来源	中文维基百科
守宫膏	来源	中文维基百科
守宫膏	属于	药物
守宫膏	来源	互动百科
复方罗汉果止咳片	属于	药物
复方罗汉果止咳片	来源	互动百科
复方罗汉果止咳片	来源	中文维基百科
茴香橘核丸	来源	中文维基百科
茴香橘核丸	来源	互动百科
茴香橘核丸	属于	药物
肌醇烟酸酯软膏	属于	药物
肌醇烟酸酯软膏	来源	中文维基百科
肌醇烟酸酯软膏	来源	互动百科
久痢丹	来源	互动百科
久痢丹	属于	药物
久痢丹	来源	中文维基百科
温脾散	属于	药物
温脾散	来源	互动百科
温脾散	来源	中文维基百科
儿童化毒散	来源	中文维基百科
儿童化毒散	属于	药物
儿童化毒散	来源	互动百科
脯氨酰内肽酶抑制剂	属于	药物
脯氨酰内肽酶抑制剂	来源	中文维基百科
脯氨酰内肽酶抑制剂	来源	互动百科
芙蓉酒	来源	中文维基百科
芙蓉酒	属于	药物
芙蓉酒	来源	互动百科
钆特酸葡胺注射液	来源	互动百科
钆特酸葡胺注射液	属于	药物
钆特酸葡胺注射液	来源	中文维基百科
橘半枳术丸	来源	互动百科
橘半枳术丸	来源	中文维基百科
橘半枳术丸	属于	药物
生物素	来源	互动百科
生物素	属于	药物
生物素	来源	中文维基百科
生物素	类型	水溶性维生素
醋酸氯地孕酮	来源	中文维基百科
醋酸氯地孕酮	属于	药物
醋酸氯地孕酮	来源	互动百科
凤尾参	来源	中文维基百科
凤尾参	来源	互动百科
凤尾参	属于	药物
注射用降纤酶	属于	药物
注射用降纤酶	来源	互动百科
注射用降纤酶	来源	中文维基百科
肤清霜	属于	药物
肤清霜	来源	中文维基百科
肤清霜	来源	互动百科
老君神白散	属于	药物
老君神白散	来源	中文维基百科
老君神白散	来源	互动百科
护肝丸	来源	中文维基百科
护肝丸	来源	互动百科
护肝丸	属于	药物
国嘉胆维他	来源	互动百科
国嘉胆维他	属于	药物
国嘉胆维他	来源	中文维基百科
八虫丸	属于	药物
八虫丸	来源	互动百科
八虫丸	来源	中文维基百科
海马多鞭丸	来源	互动百科
海马多鞭丸	属于	药物
海马多鞭丸	来源	中文维基百科
索米痛	属于	药物
索米痛	来源	中文维基百科
索米痛	来源	互动百科
汉肌松	来源	中文维基百科
汉肌松	属于	药物
汉肌松	来源	互动百科
阿兹夫定	来源	中文维基百科
阿兹夫定	来源	互动百科
阿兹夫定	属于	药物
易坦静	属于	药物
易坦静	来源	中文维基百科
易坦静	来源	互动百科
不二膏	属于	药物
不二膏	来源	中文维基百科
不二膏	来源	互动百科
牛油切片	来源	互动百科
牛油切片	属于	药物
牛油切片	来源	中文维基百科
保灵丹	来源	中文维基百科
保灵丹	来源	互动百科
保灵丹	属于	药物
芫花根膏	属于	药物
芫花根膏	来源	互动百科
芫花根膏	来源	中文维基百科
氢溴酸非诺特罗	来源	中文维基百科
氢溴酸非诺特罗	来源	互动百科
氢溴酸非诺特罗	属于	药物
依地钙	属于	药物
依地钙	来源	中文维基百科
依地钙	来源	互动百科
斯必申	属于	药物
斯必申	来源	中文维基百科
斯必申	来源	互动百科
左旋门冬酰胺酶	来源	互动百科
左旋门冬酰胺酶	属于	药物
左旋门冬酰胺酶	来源	中文维基百科
义齿安固片	来源	互动百科
义齿安固片	来源	中文维基百科
义齿安固片	属于	药物
维生素K4片	来源	中文维基百科
维生素K4片	来源	互动百科
维生素K4片	属于	药物
中枢神经系统兴奋剂	来源	中文维基百科
中枢神经系统兴奋剂	来源	互动百科
中枢神经系统兴奋剂	属于	药物
四味益气胶囊	来源	中文维基百科
四味益气胶囊	来源	互动百科
四味益气胶囊	属于	药物
盐酸妥卡胺胶囊	来源	互动百科
盐酸妥卡胺胶囊	来源	中文维基百科
盐酸妥卡胺胶囊	属于	药物
人面子根皮	来源	互动百科
人面子根皮	属于	药物
人面子根皮	来源	中文维基百科
肠覃膏	属于	药物
肠覃膏	来源	互动百科
肠覃膏	来源	中文维基百科
施诺敏	来源	互动百科
施诺敏	属于	药物
施诺敏	来源	中文维基百科
滋补健身丸	来源	互动百科
滋补健身丸	剂量	口服
滋补健身丸	来源	中文维基百科
滋补健身丸	属于	药物
芦荟珍珠胶囊	来源	中文维基百科
芦荟珍珠胶囊	来源	互动百科
芦荟珍珠胶囊	属于	药物
治冻灵	来源	中文维基百科
治冻灵	属于	药物
治冻灵	来源	互动百科
强力马达磁疗贴	来源	互动百科
强力马达磁疗贴	属于	药物
强力马达磁疗贴	来源	中文维基百科
马来酸左旋氨氯地平片	属于	药物
马来酸左旋氨氯地平片	来源	中文维基百科
马来酸左旋氨氯地平片	来源	互动百科
夸西泮	来源	中文维基百科
夸西泮	来源	互动百科
夸西泮	属于	药物
仙乃乐	来源	互动百科
仙乃乐	来源	中文维基百科
仙乃乐	属于	药物
绞股蓝总甙软胶囊	来源	中文维基百科
绞股蓝总甙软胶囊	属于	药物
绞股蓝总甙软胶囊	来源	互动百科
茵陈佛手煎	是否处方药	非处方药
茵陈佛手煎	来源	互动百科
茵陈佛手煎	来源	中文维基百科
茵陈佛手煎	属于	药物
翻白草	属于	药物
翻白草	来源	互动百科
翻白草	来源	中文维基百科
镁钙维C片	来源	中文维基百科
镁钙维C片	属于	药物
镁钙维C片	来源	互动百科
眼药水	属于	药物
眼药水	来源	中文维基百科
眼药水	来源	互动百科
腺嘌呤阿糖甙	来源	互动百科
腺嘌呤阿糖甙	属于	药物
腺嘌呤阿糖甙	来源	中文维基百科
富马酸氯马斯汀	是否处方药	非处方药
富马酸氯马斯汀	来源	互动百科
富马酸氯马斯汀	来源	中文维基百科
富马酸氯马斯汀	属于	药物
紫芝多糖片	来源	中文维基百科
紫芝多糖片	来源	互动百科
紫芝多糖片	属于	药物
活血解毒丸	来源	互动百科
活血解毒丸	属于	药物
活血解毒丸	来源	中文维基百科
复方硫乳膏	来源	互动百科
复方硫乳膏	来源	中文维基百科
复方硫乳膏	属于	药物
氨咖柳胺片	来源	中文维基百科
氨咖柳胺片	属于	药物
氨咖柳胺片	来源	互动百科
复方虎杖片	属于	药物
复方虎杖片	来源	中文维基百科
复方虎杖片	来源	互动百科
茶调香附散	属于	药物
茶调香附散	来源	互动百科
茶调香附散	来源	中文维基百科
细胞色素丙	来源	中文维基百科
细胞色素丙	来源	互动百科
细胞色素丙	属于	药物
金关片	来源	互动百科
金关片	属于	药物
金关片	来源	中文维基百科
食积口服液	来源	中文维基百科
食积口服液	来源	互动百科
食积口服液	属于	药物
两性霉素B阴道泡腾片	是否处方药	非处方药
两性霉素B阴道泡腾片	来源	中文维基百科
两性霉素B阴道泡腾片	属于	药物
两性霉素B阴道泡腾片	来源	互动百科
丹平散	属于	药物
丹平散	来源	中文维基百科
丹平散	来源	互动百科
晴源贴	属于	药物
晴源贴	来源	互动百科
晴源贴	来源	中文维基百科
太空环境疫苗	来源	中文维基百科
太空环境疫苗	属于	药物
太空环境疫苗	来源	互动百科
果导	来源	中文维基百科
果导	来源	互动百科
果导	属于	药物
马兰感寒胶囊	来源	互动百科
马兰感寒胶囊	来源	中文维基百科
马兰感寒胶囊	属于	药物
麝香止痛贴膏	来源	互动百科
麝香止痛贴膏	来源	中文维基百科
麝香止痛贴膏	属于	药物
快佳泰	来源	互动百科
快佳泰	属于	药物
快佳泰	来源	中文维基百科
附芎散	属于	药物
附芎散	来源	中文维基百科
附芎散	来源	互动百科
冰梅散	来源	互动百科
冰梅散	来源	中文维基百科
冰梅散	属于	药物
氨丁三醇注射液	来源	互动百科
氨丁三醇注射液	来源	中文维基百科
氨丁三醇注射液	属于	药物
复方延胡索喷雾剂	属于	药物
复方延胡索喷雾剂	来源	互动百科
复方延胡索喷雾剂	来源	中文维基百科
喷昔洛韦软膏	来源	中文维基百科
喷昔洛韦软膏	来源	互动百科
喷昔洛韦软膏	属于	药物
非索非那丁	属于	药物
非索非那丁	来源	中文维基百科
非索非那丁	来源	互动百科
维生素Ｃ注射液	属于	药物
维生素Ｃ注射液	来源	中文维基百科
维生素Ｃ注射液	来源	互动百科
斩梦丹	来源	中文维基百科
斩梦丹	来源	互动百科
斩梦丹	属于	药物
锁阳补肾胶囊	来源	中文维基百科
锁阳补肾胶囊	属于	药物
锁阳补肾胶囊	来源	互动百科
乳康软胶囊	来源	中文维基百科
乳康软胶囊	来源	互动百科
乳康软胶囊	属于	药物
谷氨酸诺氟沙星注射液	来源	互动百科
谷氨酸诺氟沙星注射液	属于	药物
谷氨酸诺氟沙星注射液	来源	中文维基百科
吉西他滨	来源	互动百科
吉西他滨	来源	中文维基百科
吉西他滨	属于	药物
锦唐誉制膏	属于	药物
锦唐誉制膏	来源	中文维基百科
锦唐誉制膏	来源	互动百科
CVTK试剂	来源	中文维基百科
CVTK试剂	属于	药物
CVTK试剂	来源	互动百科
外激素	来源	中文维基百科
外激素	名称	信息素
外激素	来源	互动百科
外激素	属于	药物
丁二磺酸腺苷蛋氨酸	属于	药物
丁二磺酸腺苷蛋氨酸	来源	中文维基百科
丁二磺酸腺苷蛋氨酸	来源	互动百科
美蕾益更康片	属于	药物
美蕾益更康片	来源	中文维基百科
美蕾益更康片	来源	互动百科
阿纳托唑	来源	中文维基百科
阿纳托唑	来源	互动百科
阿纳托唑	属于	药物
可饲疫苗	来源	中文维基百科
可饲疫苗	来源	互动百科
可饲疫苗	属于	药物
五根散	来源	互动百科
五根散	属于	药物
五根散	来源	中文维基百科
参灵草	是否处方药	非处方药
参灵草	属于	药物
参灵草	来源	互动百科
参灵草	来源	中文维基百科
烧伤净喷雾剂	来源	中文维基百科
烧伤净喷雾剂	来源	互动百科
烧伤净喷雾剂	属于	药物
溴丙胺西林	来源	互动百科
溴丙胺西林	来源	中文维基百科
溴丙胺西林	属于	药物
埃索美拉唑镁	属于	药物
埃索美拉唑镁	名称	耐信
埃索美拉唑镁	来源	互动百科
埃索美拉唑镁	来源	中文维基百科
氨酸胆碱片	来源	中文维基百科
氨酸胆碱片	来源	互动百科
氨酸胆碱片	属于	药物
保肾康片	来源	中文维基百科
保肾康片	来源	互动百科
保肾康片	属于	药物
土方子红膏贴	来源	互动百科
土方子红膏贴	来源	中文维基百科
土方子红膏贴	属于	药物
乌头膏	属于	药物
乌头膏	来源	互动百科
乌头膏	来源	中文维基百科
安坤胶囊	属于	药物
安坤胶囊	来源	中文维基百科
安坤胶囊	来源	互动百科
谷维素注射液	来源	中文维基百科
谷维素注射液	来源	互动百科
谷维素注射液	属于	药物
胃痛舒片	来源	互动百科
胃痛舒片	属于	药物
胃痛舒片	来源	中文维基百科
复方透骨香乳膏	来源	中文维基百科
复方透骨香乳膏	来源	互动百科
复方透骨香乳膏	属于	药物
五甲烯四氮唑	来源	互动百科
五甲烯四氮唑	属于	药物
五甲烯四氮唑	来源	中文维基百科
浮小麦茶	来源	互动百科
浮小麦茶	来源	中文维基百科
浮小麦茶	属于	药物
益倍菁花素	来源	中文维基百科
益倍菁花素	来源	互动百科
益倍菁花素	属于	药物
长效胰岛素	属于	药物
长效胰岛素	来源	中文维基百科
长效胰岛素	来源	互动百科
清热利湿合剂	来源	互动百科
清热利湿合剂	来源	中文维基百科
清热利湿合剂	属于	药物
氯化亚铊注射液	属于	药物
氯化亚铊注射液	来源	互动百科
氯化亚铊注射液	来源	中文维基百科
珍珠生肌散	来源	中文维基百科
珍珠生肌散	来源	互动百科
珍珠生肌散	属于	药物
塔牌坐骨神经痛丸	来源	互动百科
塔牌坐骨神经痛丸	来源	中文维基百科
塔牌坐骨神经痛丸	属于	药物
赤豆牛膝黄柏茶	来源	中文维基百科
赤豆牛膝黄柏茶	属于	药物
赤豆牛膝黄柏茶	来源	互动百科
风疹疫苗	来源	互动百科
风疹疫苗	来源	中文维基百科
风疹疫苗	属于	药物
参莲颗粒	来源	中文维基百科
参莲颗粒	来源	互动百科
参莲颗粒	属于	药物
复方黄松洗液	来源	中文维基百科
复方黄松洗液	属于	药物
复方黄松洗液	来源	互动百科
保列治	来源	互动百科
保列治	来源	中文维基百科
保列治	属于	药物
清胃消渴胶囊	属于	药物
清胃消渴胶囊	来源	互动百科
清胃消渴胶囊	来源	中文维基百科
盐酸苯丙烯啶	来源	中文维基百科
盐酸苯丙烯啶	来源	互动百科
盐酸苯丙烯啶	类型	胶囊剂
盐酸苯丙烯啶	属于	药物
荡石胶囊	来源	中文维基百科
荡石胶囊	来源	互动百科
荡石胶囊	属于	药物
二槲散	属于	药物
二槲散	来源	中文维基百科
二槲散	来源	互动百科
周史冷疗贴	来源	互动百科
周史冷疗贴	属于	药物
周史冷疗贴	来源	中文维基百科
蒿甲醚片	属于	药物
蒿甲醚片	来源	中文维基百科
蒿甲醚片	来源	互动百科
玉芝丸	来源	中文维基百科
玉芝丸	来源	互动百科
玉芝丸	属于	药物
龙虎止疳散	来源	中文维基百科
龙虎止疳散	来源	互动百科
龙虎止疳散	属于	药物
复方丙谷胺片	属于	药物
复方丙谷胺片	来源	中文维基百科
复方丙谷胺片	来源	互动百科
杏苏合剂	来源	互动百科
杏苏合剂	来源	中文维基百科
杏苏合剂	属于	药物
三香跌打损伤酒	来源	中文维基百科
三香跌打损伤酒	属于	药物
三香跌打损伤酒	来源	互动百科
半边莲地丁茶	来源	互动百科
半边莲地丁茶	来源	中文维基百科
半边莲地丁茶	属于	药物
多美素	属于	药物
多美素	来源	中文维基百科
多美素	来源	互动百科
丹皮酚贴膏	属于	药物
丹皮酚贴膏	来源	中文维基百科
丹皮酚贴膏	来源	互动百科
骨健灵膏	来源	互动百科
骨健灵膏	属于	药物
骨健灵膏	来源	中文维基百科
盐酸阿米替林	来源	互动百科
盐酸阿米替林	来源	中文维基百科
盐酸阿米替林	属于	药物
应痛散	来源	中文维基百科
应痛散	来源	互动百科
应痛散	属于	药物
清胃丸	来源	中文维基百科
清胃丸	属于	药物
清胃丸	来源	互动百科
白灵片	属于	药物
白灵片	来源	中文维基百科
白灵片	来源	互动百科
麒麟丸	属于	药物
麒麟丸	来源	中文维基百科
麒麟丸	来源	互动百科
芙蓉膏	来源	互动百科
芙蓉膏	来源	中文维基百科
芙蓉膏	属于	药物
回生保命黑龙丹	属于	药物
回生保命黑龙丹	来源	互动百科
回生保命黑龙丹	来源	中文维基百科
圣菲特苦瓜甙软胶囊	属于	药物
圣菲特苦瓜甙软胶囊	来源	中文维基百科
圣菲特苦瓜甙软胶囊	来源	互动百科
上宫清化丸	属于	药物
上宫清化丸	来源	中文维基百科
上宫清化丸	来源	互动百科
维生素AD糖丸	属于	药物
维生素AD糖丸	来源	互动百科
维生素AD糖丸	来源	中文维基百科
海胆毒素	属于	药物
海胆毒素	来源	互动百科
海胆毒素	来源	中文维基百科
骨化三醇	来源	互动百科
骨化三醇	属于	药物
骨化三醇	来源	中文维基百科
一笑散	属于	药物
一笑散	来源	互动百科
一笑散	来源	中文维基百科
参茸天麻酒	来源	互动百科
参茸天麻酒	属于	药物
参茸天麻酒	来源	中文维基百科
十复生胶囊	来源	互动百科
十复生胶囊	来源	中文维基百科
十复生胶囊	属于	药物
人参饮	属于	药物
人参饮	来源	互动百科
人参饮	来源	中文维基百科
盐酸溴已新片	来源	互动百科
盐酸溴已新片	来源	中文维基百科
盐酸溴已新片	属于	药物
鲜葎草茶	来源	中文维基百科
鲜葎草茶	属于	药物
鲜葎草茶	来源	互动百科
挂金散	来源	中文维基百科
挂金散	来源	互动百科
挂金散	属于	药物
泻痢消胶囊	来源	互动百科
泻痢消胶囊	属于	药物
泻痢消胶囊	类型	胶囊剂
泻痢消胶囊	来源	中文维基百科
注射用加替沙星	属于	药物
注射用加替沙星	来源	中文维基百科
注射用加替沙星	来源	互动百科
通鼻抗感剂	来源	互动百科
通鼻抗感剂	来源	中文维基百科
通鼻抗感剂	属于	药物
附子大黄汤	来源	互动百科
附子大黄汤	来源	中文维基百科
附子大黄汤	属于	药物
棕色合剂	来源	中文维基百科
棕色合剂	来源	互动百科
棕色合剂	属于	药物
不惊丸	属于	药物
不惊丸	来源	互动百科
不惊丸	来源	中文维基百科
利胆素片	属于	药物
利胆素片	来源	中文维基百科
利胆素片	是否处方药	非处方药
利胆素片	来源	互动百科
大分子霉素	来源	中文维基百科
大分子霉素	来源	互动百科
大分子霉素	属于	药物
纽徕佛牌芦荟软胶囊	来源	中文维基百科
纽徕佛牌芦荟软胶囊	属于	药物
纽徕佛牌芦荟软胶囊	来源	互动百科
毛囊清疮贴	来源	互动百科
毛囊清疮贴	属于	药物
毛囊清疮贴	来源	中文维基百科
清热安宫丸	属于	药物
清热安宫丸	来源	中文维基百科
清热安宫丸	来源	互动百科
清热安宫丸	类型	丸剂
苦瓜含片	来源	中文维基百科
苦瓜含片	属于	药物
苦瓜含片	来源	互动百科
马齿治痢茶	属于	药物
马齿治痢茶	来源	互动百科
马齿治痢茶	来源	中文维基百科
朝阳胶囊	来源	中文维基百科
朝阳胶囊	属于	药物
朝阳胶囊	来源	互动百科
瓜蒌膏	来源	互动百科
瓜蒌膏	属于	药物
瓜蒌膏	来源	中文维基百科
朱附丸	来源	互动百科
朱附丸	来源	中文维基百科
朱附丸	属于	药物
氯苯吡胺	属于	药物
氯苯吡胺	来源	互动百科
氯苯吡胺	来源	中文维基百科
卡波孟	来源	中文维基百科
卡波孟	来源	互动百科
卡波孟	属于	药物
香妃三宝男士洗液	来源	中文维基百科
香妃三宝男士洗液	属于	药物
香妃三宝男士洗液	来源	互动百科
退奶麦芽茶	来源	互动百科
退奶麦芽茶	属于	药物
退奶麦芽茶	来源	中文维基百科
肝得治片	属于	药物
肝得治片	来源	中文维基百科
肝得治片	来源	互动百科
十一味维命丸	来源	中文维基百科
十一味维命丸	来源	互动百科
十一味维命丸	属于	药物
BS鞘液	来源	中文维基百科
BS鞘液	属于	药物
BS鞘液	来源	互动百科
保安丹	来源	互动百科
保安丹	来源	中文维基百科
保安丹	属于	药物
九味熄风颗粒	来源	互动百科
九味熄风颗粒	来源	中文维基百科
九味熄风颗粒	属于	药物
倒换散	属于	药物
倒换散	来源	中文维基百科
倒换散	来源	互动百科
美愈伪麻颗粒剂	来源	中文维基百科
美愈伪麻颗粒剂	来源	互动百科
美愈伪麻颗粒剂	属于	药物
复方连蒲颗粒	来源	中文维基百科
复方连蒲颗粒	属于	药物
复方连蒲颗粒	来源	互动百科
复方气管炎胶囊	来源	互动百科
复方气管炎胶囊	来源	中文维基百科
复方气管炎胶囊	属于	药物
妇女通经丸	来源	中文维基百科
妇女通经丸	来源	互动百科
妇女通经丸	属于	药物
珍珠鸡丸	属于	药物
珍珠鸡丸	来源	互动百科
珍珠鸡丸	来源	中文维基百科
银甲丸	来源	互动百科
银甲丸	属于	药物
银甲丸	来源	中文维基百科
盐酸胺碘酮	来源	互动百科
盐酸胺碘酮	来源	中文维基百科
盐酸胺碘酮	属于	药物
发表附子散	属于	药物
发表附子散	来源	互动百科
发表附子散	来源	中文维基百科
丙戊酸钠	来源	中文维基百科
丙戊酸钠	来源	互动百科
丙戊酸钠	属于	药物
天南星散	来源	中文维基百科
天南星散	来源	互动百科
天南星散	属于	药物
朱珀镇惊散	来源	互动百科
朱珀镇惊散	属于	药物
朱珀镇惊散	来源	中文维基百科
眠安宁胶囊	来源	互动百科
眠安宁胶囊	属于	药物
眠安宁胶囊	来源	中文维基百科
内托散	来源	互动百科
内托散	来源	中文维基百科
内托散	属于	药物
疯牛病疫苗	属于	药物
疯牛病疫苗	来源	互动百科
疯牛病疫苗	来源	中文维基百科
胺碘酮片	来源	中文维基百科
胺碘酮片	属于	药物
胺碘酮片	来源	互动百科
铝镁颠茄片	来源	中文维基百科
铝镁颠茄片	属于	药物
铝镁颠茄片	来源	互动百科
艾氏剂	来源	互动百科
艾氏剂	来源	中文维基百科
艾氏剂	属于	药物
越鞠胶囊	来源	互动百科
越鞠胶囊	来源	中文维基百科
越鞠胶囊	属于	药物
止喘灵气雾剂	属于	药物
止喘灵气雾剂	来源	互动百科
止喘灵气雾剂	来源	中文维基百科
六味香连胶囊	来源	互动百科
六味香连胶囊	属于	药物
六味香连胶囊	来源	中文维基百科
六味香连胶囊	类型	胶囊剂
二十一味寒水石散	属于	药物
二十一味寒水石散	来源	中文维基百科
二十一味寒水石散	来源	互动百科
敷阳固精丸	属于	药物
敷阳固精丸	来源	互动百科
敷阳固精丸	来源	中文维基百科
敷阳固精丸	是否处方药	非处方药
弘三虎退热贴	来源	中文维基百科
弘三虎退热贴	来源	互动百科
弘三虎退热贴	属于	药物
仲景牌逍遥丸	来源	互动百科
仲景牌逍遥丸	属于	药物
仲景牌逍遥丸	来源	中文维基百科
仲景牌逍遥丸	是否处方药	非处方药
剑麻皂素	属于	药物
剑麻皂素	来源	中文维基百科
剑麻皂素	来源	互动百科
复方感冒灵片(双层片	来源	互动百科
复方感冒灵片(双层片	来源	中文维基百科
复方感冒灵片(双层片	属于	药物
软骨素片	来源	互动百科
软骨素片	来源	中文维基百科
软骨素片	属于	药物
六味活血散	来源	互动百科
六味活血散	来源	中文维基百科
六味活血散	属于	药物
常康牌养肝胶囊	来源	互动百科
常康牌养肝胶囊	来源	中文维基百科
常康牌养肝胶囊	属于	药物
保安妙贴散	来源	中文维基百科
保安妙贴散	属于	药物
保安妙贴散	来源	互动百科
婴儿安片	属于	药物
婴儿安片	来源	互动百科
婴儿安片	来源	中文维基百科
妇科白带胶囊	来源	互动百科
妇科白带胶囊	来源	中文维基百科
妇科白带胶囊	属于	药物
贝敏伪麻胶囊	来源	互动百科
贝敏伪麻胶囊	来源	中文维基百科
贝敏伪麻胶囊	属于	药物
复方大红袍止血片	来源	中文维基百科
复方大红袍止血片	属于	药物
复方大红袍止血片	来源	互动百科
杞菊地黄合剂	来源	中文维基百科
杞菊地黄合剂	来源	互动百科
杞菊地黄合剂	属于	药物
慢严舒柠	来源	互动百科
慢严舒柠	是否处方药	非处方药
慢严舒柠	来源	中文维基百科
慢严舒柠	属于	药物
复方一枝蒿片	来源	中文维基百科
复方一枝蒿片	属于	药物
复方一枝蒿片	来源	互动百科
纳气丸	来源	中文维基百科
纳气丸	来源	互动百科
纳气丸	是否处方药	非处方药
纳气丸	属于	药物
黄芩茎叶解毒胶囊	来源	中文维基百科
黄芩茎叶解毒胶囊	来源	互动百科
黄芩茎叶解毒胶囊	属于	药物
乙癸丹	来源	中文维基百科
乙癸丹	属于	药物
乙癸丹	来源	互动百科
使君子丸	来源	中文维基百科
使君子丸	来源	互动百科
使君子丸	属于	药物
道人开障散	来源	互动百科
道人开障散	来源	中文维基百科
道人开障散	属于	药物
小儿白贝止咳糖浆	来源	互动百科
小儿白贝止咳糖浆	属于	药物
小儿白贝止咳糖浆	来源	中文维基百科
疥舒	来源	互动百科
疥舒	属于	药物
疥舒	来源	中文维基百科
复方川贝精胶囊	来源	互动百科
复方川贝精胶囊	来源	中文维基百科
复方川贝精胶囊	属于	药物
齐多夫定	来源	中文维基百科
齐多夫定	来源	互动百科
齐多夫定	属于	药物
芪蛭通络胶囊	来源	中文维基百科
芪蛭通络胶囊	来源	互动百科
芪蛭通络胶囊	属于	药物
回苏林	属于	药物
回苏林	来源	互动百科
回苏林	来源	中文维基百科
舒弗美	来源	互动百科
舒弗美	属于	药物
舒弗美	来源	中文维基百科
氨甲基酸比啶	来源	互动百科
氨甲基酸比啶	属于	药物
氨甲基酸比啶	来源	中文维基百科
PUVA	来源	互动百科
PUVA	属于	药物
PUVA	来源	中文维基百科
Zepatier	来源	中文维基百科
Zepatier	来源	互动百科
Zepatier	属于	药物
复方甘草铝镁片	属于	药物
复方甘草铝镁片	来源	中文维基百科
复方甘草铝镁片	来源	互动百科
乙氧苯柳胺	来源	互动百科
乙氧苯柳胺	属于	药物
乙氧苯柳胺	来源	中文维基百科
海天益肾胶囊	来源	互动百科
海天益肾胶囊	属于	药物
海天益肾胶囊	来源	中文维基百科
百合酸枣仁胶囊	属于	药物
百合酸枣仁胶囊	来源	互动百科
百合酸枣仁胶囊	来源	中文维基百科
吹喉青黄散	来源	互动百科
吹喉青黄散	属于	药物
吹喉青黄散	来源	中文维基百科
五酯滴丸	属于	药物
五酯滴丸	来源	互动百科
五酯滴丸	来源	中文维基百科
蒙顶红芽	来源	中文维基百科
蒙顶红芽	来源	互动百科
蒙顶红芽	属于	药物
肩痹膏	来源	中文维基百科
肩痹膏	属于	药物
肩痹膏	来源	互动百科
鸡骨草肝炎冲剂	属于	药物
鸡骨草肝炎冲剂	来源	互动百科
鸡骨草肝炎冲剂	来源	中文维基百科
泰诺止痛片	来源	中文维基百科
泰诺止痛片	来源	互动百科
泰诺止痛片	属于	药物
叶绿体色素	属于	药物
叶绿体色素	来源	中文维基百科
叶绿体色素	来源	互动百科
肾骨散	来源	中文维基百科
肾骨散	属于	药物
肾骨散	来源	互动百科
肤阴洁液	来源	中文维基百科
肤阴洁液	来源	互动百科
肤阴洁液	属于	药物
肤阴洁液	是否处方药	非处方药
化瘀祛斑胶囊	来源	互动百科
化瘀祛斑胶囊	属于	药物
化瘀祛斑胶囊	来源	中文维基百科
化瘀祛斑胶囊	类型	胶囊剂
诺科隆	来源	互动百科
诺科隆	来源	中文维基百科
诺科隆	属于	药物
硝酸咪康唑阴道栓	来源	互动百科
硝酸咪康唑阴道栓	来源	中文维基百科
硝酸咪康唑阴道栓	属于	药物
利补舒太脾丸	来源	互动百科
利补舒太脾丸	属于	药物
利补舒太脾丸	来源	中文维基百科
宝岛健阳片	来源	中文维基百科
宝岛健阳片	属于	药物
宝岛健阳片	来源	互动百科
小儿止嗽金丹	属于	药物
小儿止嗽金丹	来源	中文维基百科
小儿止嗽金丹	来源	互动百科
冕益康	来源	互动百科
冕益康	来源	中文维基百科
冕益康	属于	药物
胃蛋白酶	来源	互动百科
胃蛋白酶	是否处方药	非处方药
胃蛋白酶	来源	中文维基百科
胃蛋白酶	属于	药物
辛芩片	来源	中文维基百科
辛芩片	属于	药物
辛芩片	来源	互动百科
引哒帕胺	来源	互动百科
引哒帕胺	属于	药物
引哒帕胺	来源	中文维基百科
婴宁散	属于	药物
婴宁散	是否处方药	非处方药
婴宁散	来源	互动百科
婴宁散	来源	中文维基百科
婴宁散	类型	散剂
巴龙霉素	来源	互动百科
巴龙霉素	来源	中文维基百科
巴龙霉素	属于	药物
吡美诺	来源	中文维基百科
吡美诺	属于	药物
吡美诺	是否处方药	非处方药
吡美诺	来源	互动百科
三子颗粒	来源	中文维基百科
三子颗粒	来源	互动百科
三子颗粒	属于	药物
甲卡西酮	属于	药物
甲卡西酮	来源	互动百科
甲卡西酮	来源	中文维基百科
红蜂胶囊	来源	互动百科
红蜂胶囊	属于	药物
红蜂胶囊	来源	中文维基百科
净石灵片	来源	互动百科
净石灵片	来源	中文维基百科
净石灵片	属于	药物
人血白蛋白注射液	来源	互动百科
人血白蛋白注射液	来源	中文维基百科
人血白蛋白注射液	属于	药物
红土子皮	属于	药物
红土子皮	来源	中文维基百科
红土子皮	来源	互动百科
羟乙基淀粉130/0	来源	中文维基百科
羟乙基淀粉130/0	属于	药物
羟乙基淀粉130/0	来源	互动百科
博祥云芝肝泰颗粒	属于	药物
博祥云芝肝泰颗粒	来源	互动百科
